"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2024-11-06,1,2024-11-03,0.025,2.475,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.05,3.95,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.1,4,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.15,5,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.2,5,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.25,6,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.3,6,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.35,6,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.4,6.6,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.45,7,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.5,7,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.55,8,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.6,8,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.65,9,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.7,9,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.75,9,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.8,10,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.85,10,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.9,11,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.95,13,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.975,14,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.99,15,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.01,37,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.025,38.95,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.05,40,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.1,41,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.15,43.85,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.2,46,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.25,47,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.3,47,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.35,48,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.4,48,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.45,49.55,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.5,50,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.55,51,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.6,52,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.65,53,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.7,55,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.75,57,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.8,58.2,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.85,60,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.9,62,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.95,67.05,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.975,68,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.99,69.05,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.01,28.98,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.025,29.95,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.05,32.95,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.1,35,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.15,35,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.2,37,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.25,37,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.3,38,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.35,40,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.4,41,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.45,42,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.5,42,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.55,43,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.6,44,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.65,45,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.7,46,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.75,47,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.8,48,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.85,49.15,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.9,51.1,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.95,52.1,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.975,54,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.99,55,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.01,4752.57,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.025,4757.375,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.05,4777.5,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.1,4808.8,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.15,4822.25,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.2,4839.2,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.25,4850.75,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.3,4860.7,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.35,4870.6,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.4,4880.2,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.45,4886.55,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.5,4894.5,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.55,4905,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.6,4914.2,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.65,4919.7,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.7,4926,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.75,4935.25,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.8,4941.4,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.85,4951.15,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.9,4979.1,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.95,5010.4,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.975,5027,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.99,5044.14,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.01,5336.83,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.025,5392.275,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.05,5411.7,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.1,5426.7,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.15,5438.4,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.2,5447.6,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.25,5456,"quantile","ILI incidence","MT"
