target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ARI incidence,BG,2024-11-03,3,quantile,0.99,895.9639863056934,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.99,902.8960036142214,2024-10-23
ARI incidence,BG,2024-10-20,1,median,,646.4149924755017,2024-10-23
ARI incidence,BG,2024-10-27,2,median,,618.1107710547517,2024-10-23
ARI incidence,BG,2024-11-03,3,median,,688.5260806921381,2024-10-23
ARI incidence,BG,2024-11-10,4,median,,813.1923230683954,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.01,748.542096758781,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.01,597.017807625451,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.01,616.2758200244282,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.01,588.1106701857146,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.025,749.6264028920614,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.025,602.4984413018067,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.025,624.3704687689938,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.025,616.2142663995638,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.05,761.9187480831895,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.05,640.1032048963099,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.05,659.536719566643,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.05,648.2514286139635,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.1,831.5124365852065,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.1,775.1717126779276,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.1,726.3815115749667,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.1,720.8322666685299,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.15,876.8390220081957,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.15,791.6929450104996,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.15,763.8035197604988,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.15,774.1367630130056,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.2,883.1600204105487,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.2,807.0854147241511,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.2,813.1771998348804,2024-10-23
