target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,FR,2024-10-27,2,quantile,0.05,63.873768346252255,2024-10-23
ILI incidence,FR,2024-11-03,3,quantile,0.05,72.97131840937367,2024-10-23
ILI incidence,FR,2024-11-10,4,quantile,0.05,67.93968391996509,2024-10-23
ILI incidence,FR,2024-10-20,1,quantile,0.1,61.18461847840013,2024-10-23
ILI incidence,FR,2024-10-27,2,quantile,0.1,68.14074393237381,2024-10-23
ILI incidence,FR,2024-11-03,3,quantile,0.1,75.41555475325937,2024-10-23
ILI incidence,FR,2024-11-10,4,quantile,0.1,68.72019364770487,2024-10-23
ILI incidence,FR,2024-10-20,1,quantile,0.15,61.53057806553276,2024-10-23
ILI incidence,FR,2024-10-27,2,quantile,0.15,71.9573396552513,2024-10-23
ILI incidence,FR,2024-11-03,3,quantile,0.15,78.62473144065305,2024-10-23
ILI incidence,FR,2024-11-10,4,quantile,0.15,73.6455797592377,2024-10-23
ILI incidence,FR,2024-10-20,1,quantile,0.2,62.546156718252995,2024-10-23
ILI incidence,FR,2024-10-27,2,quantile,0.2,73.30517474864119,2024-10-23
ILI incidence,FR,2024-11-03,3,quantile,0.2,80.19851617831421,2024-10-23
ILI incidence,FR,2024-11-10,4,quantile,0.2,76.71689851206615,2024-10-23
ILI incidence,FR,2024-10-20,1,quantile,0.25,65.51768248014224,2024-10-23
ILI incidence,FR,2024-10-27,2,quantile,0.25,73.95185522735173,2024-10-23
ILI incidence,FR,2024-11-03,3,quantile,0.25,82.472954755448,2024-10-23
ILI incidence,FR,2024-11-10,4,quantile,0.25,77.04353115423746,2024-10-23
ILI incidence,FR,2024-10-20,1,quantile,0.3,67.7159217625473,2024-10-23
ILI incidence,FR,2024-10-27,2,quantile,0.3,74.72544114788462,2024-10-23
ILI incidence,FR,2024-11-03,3,quantile,0.3,83.01233527407022,2024-10-23
ILI incidence,FR,2024-11-10,4,quantile,0.3,81.35146500751597,2024-10-23
ILI incidence,FR,2024-10-20,1,quantile,0.35,68.81766956034271,2024-10-23
ILI incidence,FR,2024-10-27,2,quantile,0.35,75.89426010206971,2024-10-23
ILI incidence,FR,2024-11-03,3,quantile,0.35,83.35351890866671,2024-10-23
ILI incidence,FR,2024-11-10,4,quantile,0.35,83.35593353083628,2024-10-23
ILI incidence,FR,2024-10-20,1,quantile,0.4,69.97679296885515,2024-10-23
ILI incidence,FR,2024-10-27,2,quantile,0.4,77.93662593740574,2024-10-23
ILI incidence,FR,2024-11-03,3,quantile,0.4,84.300214330626,2024-10-23
ILI incidence,FR,2024-11-10,4,quantile,0.4,86.2557124314613,2024-10-23
ILI incidence,FR,2024-10-20,1,quantile,0.45,70.71939179721262,2024-10-23
ILI incidence,FR,2024-10-27,2,quantile,0.45,83.02738774722052,2024-10-23
ILI incidence,FR,2024-11-03,3,quantile,0.45,87.64087736446483,2024-10-23
ILI incidence,FR,2024-11-10,4,quantile,0.45,87.67002724476644,2024-10-23
ILI incidence,FR,2024-10-20,1,quantile,0.5,71.39130046837411,2024-10-23
ILI incidence,FR,2024-10-27,2,quantile,0.5,84.25085458660223,2024-10-23
ILI incidence,FR,2024-11-03,3,quantile,0.5,91.22900769053189,2024-10-23
ILI incidence,FR,2024-11-10,4,quantile,0.5,88.61799186068549,2024-10-23
ILI incidence,FR,2024-10-20,1,quantile,0.55,71.66525027641609,2024-10-23
ILI incidence,FR,2024-10-27,2,quantile,0.55,84.64960195935363,2024-10-23
ILI incidence,FR,2024-11-03,3,quantile,0.55,91.23501209464341,2024-10-23
ILI incidence,FR,2024-11-10,4,quantile,0.55,89.60253819260656,2024-10-23
ILI incidence,FR,2024-10-20,1,quantile,0.6,71.98722024498328,2024-10-23
