target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ARI incidence,BG,2024-10-20,1,quantile,0.45,717.7035837048987,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.45,762.7835489860367,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.45,866.396389461776,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.45,1014.912716342831,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.5,744.6014488848061,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.5,793.3566107294561,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.5,898.0193032886257,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.5,1058.3317282270195,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.55,773.310119118611,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.55,828.6994819698286,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.55,929.3595698343197,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.55,1103.5064629394117,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.6,798.4754283861911,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.6,871.4429051763852,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.6,968.417552038743,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.6,1150.4996254962223,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.65,825.4599315357553,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.65,903.8584554054477,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.65,1008.9867458820298,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.65,1200.3574050691948,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.7,859.0505310630426,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.7,941.6548251896216,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.7,1051.2460828286476,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.7,1254.822228016427,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.75,904.6168667029372,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.75,984.2598912172538,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.75,1104.267916980999,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.75,1311.7597273128226,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.8,946.2285310451533,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.8,1037.9459274036942,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.8,1179.0867105815512,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.8,1375.3035145274912,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.85,1002.2651290155522,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.85,1092.016510354343,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.85,1264.5707273607586,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.85,1454.5858108099253,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.9,1074.8962186882925,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.9,1180.5822843286116,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.9,1351.1848380072056,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.9,1544.4618290772003,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.95,1203.918001976444,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.95,1295.1939967646365,2024-10-23
